Samples,genotype,genotype2,id,loc.time,type,type2,rep,microbiome
Sample1,L1,T2,FL,field,leaf,LF,1,holobiomes
Sample2,L1,T2,FL,field,leaf,LF,2,holobiomes
Sample3,L1,T2,FL,field,leaf,LF,3,holobiomes
Sample4,L1,T2,FL,field,leaf,LF,4,holobiomes
Sample17,L1,T2,FST,field,stem,ST,1,holobiomes
Sample18,L1,T2,FST,field,stem,ST,2,holobiomes
Sample19,L1,T2,FST,field,stem,ST,3,holobiomes
Sample20,L1,T2,FST,field,stem,ST,4,holobiomes
Sample5,L1,T2,FR,field,root,RT,1,holobiomes
Sample6,L1,T2,FR,field,root,RT,2,holobiomes
Sample7,L1,T2,FR,field,root,RT,3,holobiomes
Sample8,L1,T2,FR,field,root,RT,4,holobiomes
Sample9,L1,T2,FRAS,field,root associated soils,RS,1,holobiomes
Sample10,L1,T2,FRAS,field,root associated soils,RS,2,holobiomes
Sample11,L1,T2,FRAS,field,root associated soils,RS,3,holobiomes
Sample12,L1,T2,FRAS,field,root associated soils,RS,4,holobiomes
Sample13,L1,T2,FS,field,soil,SO,1,soil_microbiome
Sample14,L1,T2,FS,field,soil,SO,2,soil_microbiome
Sample15,L1,T2,FS,field,soil,SO,3,soil_microbiome
Sample16,L1,T2,FS,field,soil,SO,4,soil_microbiome
Sample21,L1,TR,GHL,greenhouse,leaf,LF,1,holobiomes
Sample22,L1,TR,GHL,greenhouse,leaf,LF,2,holobiomes
Sample23,L1,TR,GHL,greenhouse,leaf,LF,3,holobiomes
Sample24,L1,TR,GHL,greenhouse,leaf,LF,4,holobiomes
Sample25,L1,TR,GHR,greenhouse,root,RT,1,holobiomes
Sample26,L1,TR,GHR,greenhouse,root,RT,2,holobiomes
Sample27,L1,TR,GHR,greenhouse,root,RT,3,holobiomes
Sample28,L1,TR,GHR,greenhouse,root,RT,4,holobiomes
Sample29,L1,TR,GHRAS,greenhouse,root associated soils,RS,1,holobiomes
Sample30,L1,TR,GHRAS,greenhouse,root associated soils,RS,2,holobiomes
Sample31,L1,TR,GHRAS,greenhouse,root associated soils,RS,3,holobiomes
Sample32,L1,TR,GHRAS,greenhouse,root associated soils,RS,4,holobiomes
Sample33,L1,TR,GHS,greenhouse,soil,SO,1,soil_microbiome
Sample34,L1,TR,GHS,greenhouse,soil,SO,2,soil_microbiome
Sample35,L1,TR,GHS,greenhouse,soil,SO,3,soil_microbiome
Sample36,L1,TR,GHS,greenhouse,soil,SO,4,soil_microbiome
Sample37,L1,TR,GHST,greenhouse,stem,ST,1,holobiomes
Sample38,L1,TR,GHST,greenhouse,stem,ST,2,holobiomes
Sample39,L1,TR,GHST,greenhouse,stem,ST,3,holobiomes
Sample40,L1,TR,GHST,greenhouse,stem,ST,4,holobiomes
Sample41,L2,T2,FL,field,leaf,LF,1,holobiomes
Sample42,L2,T2,FL,field,leaf,LF,2,holobiomes
Sample43,L2,T2,FL,field,leaf,LF,3,holobiomes
Sample44,L2,T2,FL,field,leaf,LF,4,holobiomes
Sample45,L2,T2,FR,field,root,RT,1,holobiomes
Sample46,L2,T2,FR,field,root,RT,2,holobiomes
Sample47,L2,T2,FR,field,root,RT,3,holobiomes
Sample48,L2,T2,FR,field,root,RT,4,holobiomes
Sample49,L2,T2,FRAS,field,root associated soils,RS,1,holobiomes
Sample50,L2,T2,FRAS,field,root associated soils,RS,2,holobiomes
Sample51,L2,T2,FRAS,field,root associated soils,RS,3,holobiomes
Sample52,L2,T2,FRAS,field,root associated soils,RS,4,holobiomes
Sample53,L2,T2,FS,field,soil,SO,1,soil_microbiome
Sample54,L2,T2,FS,field,soil,SO,2,soil_microbiome
Sample55,L2,T2,FS,field,soil,SO,3,soil_microbiome
Sample56,L2,T2,FS,field,soil,SO,4,soil_microbiome
Sample57,L2,T2,FST,field,stem,ST,1,holobiomes
Sample58,L2,T2,FST,field,stem,ST,2,holobiomes
Sample59,L2,T2,FST,field,stem,ST,3,holobiomes
Sample60,L2,T2,FST,field,stem,ST,4,holobiomes
Sample61,L2,TR,GHL,greenhouse,leaf,LF,1,holobiomes
Sample62,L2,TR,GHL,greenhouse,leaf,LF,2,holobiomes
