,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,k__Fungi,NA,NA,NA,NA,NA,NA
ASV2,k__Fungi,NA,NA,NA,NA,NA,NA
ASV3,k__Fungi,NA,NA,NA,NA,NA,NA
ASV4,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Cephalothecaceae,g__Phialemonium,s__inflatum
ASV5,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,s__sayulitensis
ASV6,k__Fungi,NA,NA,NA,NA,NA,NA
ASV7,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,NA
ASV8,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Dissoconiaceae,g__Ramichloridium,NA
ASV9,k__Fungi,NA,NA,NA,NA,NA,NA
ASV10,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Stephanosporaceae,NA,NA
ASV11,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,s__sayulitensis
ASV12,k__Fungi,NA,NA,NA,NA,NA,NA
ASV13,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Striaticonidium,NA
ASV14,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Thermothielavioides,NA
ASV15,k__Fungi,NA,NA,NA,NA,NA,NA
ASV16,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Vibrisseaceae,g__Phialocephala,s__humicola
ASV17,k__Fungi,NA,NA,NA,NA,NA,NA
ASV18,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,NA
ASV19,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,s__asperellum
ASV20,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__concentricum
ASV21,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__sphaerospermum
ASV22,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,s__virens
ASV23,k__Fungi,NA,NA,NA,NA,NA,NA
ASV24,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
ASV25,k__Fungi,p__Basidiomycota,c__Atractiellomycetes,o__Atractiellales,f__Hoehnelomycetaceae,g__Atractiella,s__solani
ASV26,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__inflatus
ASV27,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Striaticonidium,s__brachysporum
ASV28,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Serendipitaceae,g__Serendipita,s__indica
ASV29,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,NA
ASV30,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Zopfiella,s__marina
ASV31,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,s__asperellum
ASV32,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__furcatum
ASV33,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,NA,NA
ASV34,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__chlamydosporum
ASV35,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Chaetosphaeriales,f__Chaetosphaeriaceae,g__Codinaea,s__acaciae
ASV36,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,NA
ASV37,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Myxotrichaceae,g__Oidiodendron,NA
ASV38,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Trichomonascaceae,NA,NA
ASV39,k__Fungi,NA,NA,NA,NA,NA,NA
ASV40,k__Fungi,NA,NA,NA,NA,NA,NA
