	Sample223	Sample224	Sample225	Sample226	Sample25	Sample26	Sample27	Sample28	Sample65	Sample66	Sample67	Sample68	Sample105	Sample106	Sample107	Sample108	Sample145	Sample146	Sample147	Sample148
ASV6	5503	2744	7741	2739	3451	6933	7498	4614	6591	3577	3321	8659	0	1233	2831	3747	6067	4091	12149	4405
ASV7	2273	902	603	1306	7049	697	3087	11454	5666	1084	76	639	0	2124	3748	178	302	1684	242	372
ASV8	7014	2772	3748	4513	7824	7370	4893	3881	5015	2418	1326	6653	0	3791	0	172	1290	1131	1820	3441
ASV10	819	2440	3407	1054	0	6856	3146	2480	1259	3204	4159	2169	673	1077	1606	499	5840	9278	3515	2242
ASV13	119	332	267	52	133	228	195	105	109	18	236	315	0	0	167	253	285	95	217	213
ASV18	317	486	96	130	441	157	335	258	567	380	52	694	0	0	0	140	460	256	62	1023
ASV19	948	853	417	514	817	780	947	715	746	593	0	177	715	0	40	414	542	482	244	548
ASV20	1876	587	13024	195	544	1799	658	1943	1096	1626	935	4718	0	0	0	533	964	1322	1540	43
ASV22	1854	4810	1020	1235	95	3955	1025	3668	1092	834	2492	436	0	0	0	163	2073	1025	798	1871
ASV27	379	222	0	231	105	186	96	55	854	54	43	96	0	0	510	53	1148	147	163	199
ASV30	3323	985	5487	241	334	2081	1453	1358	2651	798	115	4020	0	0	0	282	174	374	1712	1278
ASV31	226	744	452	401	797	115	4755	1636	684	232	898	1303	0	0	724	220	1016	45	185	3326
ASV36	221	689	620	782	258	315	366	286	271	803	0	1820	350	1865	53	336	771	1601	1295	246
ASV45	103	1131	1092	0	0	1230	534	835	439	762	41	1006	0	0	0	628	814	1056	8954	374
ASV47	931	1225	698	2343	96	664	259	2787	1835	355	804	161	51	0	17	9	388	931	21	2796
ASV48	1709	942	694	6	1242	1158	529	708	546	2304	208	685	581	0	88	14	361	185	1165	1272
ASV56	1167	1098	510	904	0	2020	709	719	1662	141	202	222	603	0	0	93	416	1064	97	199
ASV75	582	1006	396	1137	144	163	1025	1249	799	123	85	63	82	569	0	0	249	1550	144	1216
ASV89	296	857	818	1090	977	305	1300	964	1413	987	0	279	0	0	0	10	71	265	275	1231
