	Sample227	Sample228	Sample229	Sample230	Sample29	Sample30	Sample31	Sample32	Sample69	Sample70	Sample71	Sample72	Sample109	Sample110	Sample111	Sample112	Sample149	Sample150	Sample151	Sample152
ASV2	5	10	7	0	9	0	7	16	18	31	20	28	7	0	6	7	84	36	11	0
ASV6	272	247	274	84	265	270	217	101	290	141	60	531	21	0	0	52	632	351	122	548
ASV8	249	157	287	35	344	123	253	77	359	107	19	312	0	0	15	7	290	178	15	270
ASV10	9	21	68	0	0	353	0	21	22	43	20	11	0	0	0	0	73	547	0	37
ASV13	466	1204	817	321	499	1045	937	488	896	1164	658	915	140	0	203	0	1524	1395	224	1516
ASV15	309	301	227	227	89	317	591	416	334	319	266	482	331	277	367	780	518	170	491	374
ASV22	30	33	42	0	86	103	63	68	113	47	0	18	0	0	0	0	34	84	0	78
ASV24	296	244	200	199	56	277	367	407	298	300	293	344	348	211	343	601	459	174	521	431
ASV47	28	69	66	45	0	97	61	41	93	49	19	63	0	0	15	6	101	183	19	103
ASV56	58	36	54	62	0	139	59	68	104	69	0	0	0	0	0	0	166	136	0	88
ASV75	114	58	87	84	27	62	47	67	66	56	30	24	0	0	0	0	0	129	58	44
ASV81	86	46	11	31	53	0	138	38	122	0	74	251	19	18	0	116	0	24	20	66
ASV87	78	228	121	64	454	119	236	133	198	187	107	192	37	0	0	0	193	178	58	173
ASV89	0	38	39	0	0	39	31	26	31	27	7	12	0	0	0	7	30	0	0	67
