sample	function	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
Sample219	1CMET2-PWY	ASV7	1.62	100.0	1.0769230769230769	1.7446153846153847	107.6923076923077	1.0
Sample219	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	ASV7	1.62	100.0	1.2	1.944	120.0	1.0
Sample219	ALL-CHORISMATE-PWY	ASV7	1.62	100.0	1.2760736196319018	2.067239263803681	127.60736196319019	1.0
Sample219	ANAEROFRUCAT-PWY	ASV7	1.62	100.0	1.368421052631579	2.216842105263158	136.8421052631579	1.0
Sample219	ANAGLYCOLYSIS-PWY	ASV7	1.62	100.0	1.3333333333333333	2.16	133.33333333333331	1.0
Sample219	ARG+POLYAMINE-SYN	ASV7	1.62	100.0	1.1162790697674418	1.8083720930232559	111.62790697674419	1.0
Sample219	ARGDEG-PWY	ASV7	1.62	100.0	1.2	1.944	120.0	1.0
Sample219	ARGSYN-PWY	ASV7	1.62	100.0	1.0434782608695652	1.6904347826086956	104.34782608695652	1.0
Sample219	ARGSYNBSUB-PWY	ASV7	1.62	100.0	1.0526315789473684	1.7052631578947368	105.26315789473684	1.0
Sample219	ARO-PWY	ASV7	1.62	100.0	1.5000000000000002	2.4300000000000006	150.00000000000003	1.0
Sample219	ASPASN-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	AST-PWY	ASV7	1.62	100.0	2.0	3.24	200.0	1.0
Sample219	BIOTIN-BIOSYNTHESIS-PWY	ASV7	1.62	100.0	1.5730337078651684	2.548314606741573	157.30337078651684	1.0
Sample219	BRANCHED-CHAIN-AA-SYN-PWY	ASV7	1.62	100.0	1.2949640287769784	2.097841726618705	129.49640287769785	1.0
Sample219	CALVIN-PWY	ASV7	1.62	100.0	2.4489795918367347	3.9673469387755107	244.89795918367346	1.0
Sample219	CATECHOL-ORTHO-CLEAVAGE-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	COA-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	COBALSYN-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	COMPLETE-ARO-PWY	ASV7	1.62	100.0	1.5483870967741937	2.508387096774194	154.83870967741936	1.0
Sample219	DAPLYSINESYN-PWY	ASV7	1.62	100.0	1.2038216560509554	1.9501910828025477	120.38216560509554	1.0
Sample219	DENOVOPURINE2-PWY	ASV7	1.62	100.0	1.1311475409836065	1.8324590163934427	113.11475409836065	1.0
Sample219	DTDPRHAMSYN-PWY	ASV7	1.62	100.0	1.3333333333333333	2.16	133.33333333333331	1.0
Sample219	ECASYN-PWY	ASV7	1.62	100.0	1.139240506329114	1.8455696202531648	113.9240506329114	1.0
Sample219	ENTBACSYN-PWY	ASV7	1.62	100.0	1.7142857142857144	2.7771428571428576	171.42857142857144	1.0
Sample219	FAO-PWY	ASV7	1.62	100.0	2.0	3.24	200.0	1.0
Sample219	FASYN-ELONG-PWY	ASV7	1.62	100.0	2.3529411764705883	3.811764705882353	235.29411764705884	1.0
Sample219	FASYN-INITIAL-PWY	ASV7	1.62	100.0	1.6216216216216217	2.6270270270270273	162.16216216216216	1.0
Sample219	FERMENTATION-PWY	ASV7	1.62	100.0	1.6335791264889394	2.646398184912082	163.35791264889394	1.0
Sample219	FOLSYN-PWY	ASV7	1.62	100.0	1.2413793103448274	2.0110344827586206	124.13793103448273	1.0
Sample219	GALACT-GLUCUROCAT-PWY	ASV7	1.62	100.0	1.227272727272727	1.988181818181818	122.7272727272727	1.0
Sample219	GALACTARDEG-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	GALACTUROCAT-PWY	ASV7	1.62	100.0	1.25	2.0250000000000004	125.0	1.0
Sample219	GLCMANNANAUT-PWY	ASV7	1.62	100.0	1.1111111111111112	1.8000000000000003	111.11111111111111	1.0
Sample219	GLUCARDEG-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	GLUCARGALACTSUPER-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	GLUCONEO-PWY	ASV7	1.62	100.0	1.4545454545454546	2.3563636363636364	145.45454545454547	1.0
Sample219	GLUCOSE1PMETAB-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	GLUCUROCAT-PWY	ASV7	1.62	100.0	1.3846153846153844	2.2430769230769227	138.46153846153842	1.0
Sample219	GLUTORN-PWY	ASV7	1.62	100.0	1.1111111111111112	1.8000000000000003	111.11111111111111	1.0
Sample219	GLYCOCAT-PWY	ASV7	1.62	100.0	1.3333333333333333	2.16	133.33333333333331	1.0
Sample219	GLYCOGENSYNTH-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	GLYCOLYSIS	ASV7	1.62	100.0	1.469387755102041	2.3804081632653062	146.9387755102041	1.0
Sample219	GLYCOLYSIS-E-D	ASV7	1.62	100.0	1.3506493506493507	2.1880519480519482	135.06493506493507	1.0
Sample219	GLYCOLYSIS-TCA-GLYOX-BYPASS	ASV7	1.62	100.0	1.3890675241157557	2.2502893890675244	138.90675241157558	1.0
Sample219	GLYOXYLATE-BYPASS	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	HEME-BIOSYNTHESIS-II	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	HEMESYN2-PWY	ASV7	1.62	100.0	1.1428571428571428	1.8514285714285714	114.28571428571428	1.0
Sample219	HEXITOLDEGSUPER-PWY	ASV7	1.62	100.0	1.3150684931506849	2.13041095890411	131.50684931506848	1.0
Sample219	HISDEG-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	HISTSYN-PWY	ASV7	1.62	100.0	1.0769230769230769	1.7446153846153847	107.6923076923077	1.0
Sample219	HOMOSER-METSYN-PWY	ASV7	1.62	100.0	1.2857142857142856	2.0828571428571427	128.57142857142856	1.0
Sample219	ILEUSYN-PWY	ASV7	1.62	100.0	1.2857142857142856	2.0828571428571427	128.57142857142856	1.0
Sample219	KDO-NAGLIPASYN-PWY	ASV7	1.62	100.0	1.0827067669172932	1.753984962406015	108.27067669172932	1.0
Sample219	MET-SAM-PWY	ASV7	1.62	100.0	1.2727272727272727	2.061818181818182	127.27272727272727	1.0
Sample219	NAD-BIOSYNTHESIS-II	ASV7	1.62	100.0	1.2307692307692308	1.993846153846154	123.07692307692308	1.0
Sample219	NAGLIPASYN-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	NONMEVIPP-PWY	ASV7	1.62	100.0	1.0	1.62	100.0	1.0
Sample219	NONOXIPENT-PWY	ASV7	1.62	100.0	3.4782608695652177	5.634782608695653	347.82608695652175	1.0
Sample219	OANTIGEN-PWY	ASV7	1.62	100.0	1.1111111111111112	1.8000000000000003	111.11111111111111	1.0
